0,5778	-4,0500	89%	17,1	140
1,1611	-3,2389	85%	16,6	139
1,6667	-3,1556	82%	20,3	140
1,7111	-2,1944	82%	14,5	140
1,1833	-2,7444	86%	13,9	134
1,2056	-3,0722	85%	15,9	149
2,2222	-2,4944	79%	20,6	140
2,0722	-3,2722	81%	25,4	136
2,2000	-2,8500	80%	23,2	140
2,7333	-2,1333	82%	22,9	140
2,7889	-1,9056	83%	21,6	138
3,8222	-0,7389	82%	22,8	139
4,9111	0,8056	77%	21,4	149
6,2056	2,2389	76%	23,4	141
7,4389	3,6778	72%	24,8	139
6,9500	2,8111	74%	27,6	139
5,9722	2,3889	81%	19,3	148
5,9056	2,2500	80%	19,8	148
4,9556	0,3833	86%	25,9	149
5,4722	1,1000	83%	25,4	145
5,9722	1,8611	80%	24,2	140
4,9333	0,5556	86%	23,9	139
5,4722	1,3778	87%	22,7	149
5,4222	1,6667	86%	19,6	148
5,4222	2,4944	86%	13,7	157
2,3500	-1,5500	91%	15,3	221
5,4222	2,0222	80%	16,8	147
5,9056	2,2778	80%	19,6	147
5,9667	2,4056	80%	19,1	137
5,9500	1,9444	77%	23,1	138
5,9500	1,6833	77%	25,7	139
6,7333	2,8444	74%	24,1	138
5,9278	1,7111	77%	25,1	138
6,9444	2,8722	73%	26,8	138
6,9444	3,2444	73%	22,8	129
7,5056	3,8500	73%	23,9	138
6,9944	4,4944	80%	13,2	156
7,0444	7,0444	86%	2,4	120
7,0167	5,1167	86%	9,8	106
7,0167	4,9167	87%	10,9	136
6,5389	4,1000	90%	12,2	155
5,9333	3,1000	93%	13,8	168
4,8667	2,0833	93%	12,2	178
3,9444	0,2222	99%	16,6	212
2,8556	-1,6444	96%	20,2	209
2,8056	-1,3000	92%	17,3	211
2,3111	-2,2278	92%	19,4	239
1,6944	-2,6833	92%	17,3	230
1,6944	-3,1167	92%	20,2	220
1,7333	0,3556	95%	5,1	325
1,6667	-2,6722	92%	17,0	220
1,6667	-2,6667	92%	17,0	229
1,7167	-1,5833	92%	11,5	239
2,2000	-1,1889	86%	12,3	248
2,2000	-0,9056	86%	11,0	228
2,2056	-0,2611	87%	8,4	239
2,2000	0,9111	92%	5,0	234
2,2222	-0,1389	86%	8,1	238
2,7889	0,6444	84%	7,7	233
2,7778	1,5556	89%	5,1	230
2,8500	0,3333	89%	9,1	257
2,9000	0,9222	89%	7,2	207
2,8500	0,2222	89%	9,5	242
2,8278	0,6833	89%	7,7	249
2,8444	0,3778	89%	8,9	270
2,7778	0,1556	89%	9,5	299
2,2444	2,2444	92%	3,0	353
2,3556	2,3556	92%	1,7	108
2,2444	2,2444	92%	2,7	166
2,2444	2,2444	92%	4,8	309
2,2556	2,2556	92%	3,2	285
2,2000	0,4000	89%	6,3	337
2,2000	2,2000	89%	3,6	316
1,7000	-2,7389	92%	17,7	28
1,7167	-0,1500	96%	6,3	330
1,7167	1,7167	96%	3,2	0
1,7167	1,7167	95%	3,4	5
2,2000	2,2000	92%	2,9	8
2,2000	-0,0611	92%	7,7	6
2,1389	2,1389	92%	3,2	16
2,1778	2,1778	92%	3,4	34
2,2000	-0,3722	92%	8,9	12
2,2667	-0,7611	86%	10,7	27
2,2500	-1,1000	92%	12,2	13
2,7778	-1,1111	89%	15,8	20
2,2833	-1,6278	86%	15,3	37
2,3167	-0,8778	84%	11,5	40
2,8000	-1,1056	89%	16,0	22
2,8111	-1,0056	89%	15,4	31
2,7556	-1,3556	89%	17,2	31
2,7556	-1,3833	89%	17,4	29
2,7389	-1,3167	89%	16,8	21
2,7333	-1,4056	89%	17,4	20
2,2222	-2,0722	92%	17,6	20
2,2333	-1,9444	90%	16,8	30
1,6667	-2,7389	92%	17,4	30
1,6667	-2,7389	92%	17,4	30
2,6333	2,6333	96%	2,7	325
1,6889	-3,1611	92%	20,5	30
1,1611	-2,2222	95%	11,3	41
1,2167	-2,0833	96%	11,0	31
1,1611	-2,5333	99%	12,7	32
1,1611	-2,1833	99%	11,1	32
2,1389	-0,5722	93%	9,3	42
2,1778	-0,9611	92%	11,1	23
2,2222	-1,2667	99%	12,9	42
2,6944	-0,4778	96%	11,8	23
2,7556	-0,5722	96%	12,7	31
3,8444	1,7722	92%	8,1	22
3,8333	2,6500	93%	5,3	15
3,8667	1,4278	99%	9,5	12
3,8667	1,4000	92%	9,7	12
3,8833	1,9556	93%	7,6	345
3,8667	1,8056	92%	8,1	344
3,9389	1,9222	92%	7,9	324
3,8389	2,0000	93%	7,2	324
2,8278	0,5667	100%	8,1	344
3,2889	3,2889	96%	3,3	321
2,7278	2,7278	93%	3,3	338
2,2944	0,7778	96%	5,6	286
1,8056	1,8056	99%	4,8	18
2,2722	0,6222	96%	6,0	337
2,8278	2,8278	96%	2,7	203
2,8278	2,8278	96%	2,4	253
2,7722	2,7722	96%	2,6	266
2,7556	2,7556	96%	0,5	60
2,7556	2,7556	96%	2,6	300
2,7611	2,7611	96%	3,0	212
2,7333	0,3722	96%	8,4	219
2,7333	0,8278	96%	6,9	229
2,7000	0,7944	95%	6,9	224
2,2722	-0,3278	92%	9,0	188
2,2722	2,2722	92%	4,3	257
2,3167	2,3167	93%	3,1	324
2,8056	1,6722	89%	4,9	317
2,7556	0,1944	90%	9,2	327
2,3056	0,0111	93%	7,9	333
2,2222	-0,0333	92%	7,7	347
2,2222	-0,5056	100%	9,5	338
2,2556	-0,3333	93%	9,0	340
2,2222	-0,1444	100%	8,1	338
2,2222	0,3778	96%	6,5	338
2,7333	0,9833	93%	6,4	358
2,7333	2,7333	92%	3,7	17
2,7333	1,0167	96%	6,3	343
0,2944	-1,2722	96%	5,1	35
1,6444	1,6444	100%	3,6	346
0,5278	-2,2389	100%	8,5	21
1,1778	1,1778	99%	3,0	8
1,0833	1,0833	92%	4,0	145
1,0833	1,0833	92%	3,6	8
1,0500	-1,1889	99%	7,1	195
2,1278	0,0778	92%	7,0	147
1,1556	-2,2667	99%	11,5	147
1,1889	-2,1667	99%	11,2	146
2,2222	-0,6389	92%	10,0	165
2,2444	-0,7056	86%	10,4	145
2,2278	-0,7000	92%	10,3	145
2,2667	-1,1056	85%	12,3	137
1,7111	-0,0889	89%	6,1	142
1,2389	-1,5611	86%	9,0	108
0,0889	-1,5833	92%	5,2	87
0,1167	-1,6667	92%	5,5	81
-0,7278	-2,4389	92%	5,1	73
-1,0167	-2,7833	99%	5,1	53
-0,5333	-0,5333	92%	3,6	37
-0,0333	-0,0333	93%	3,6	17
-0,0444	-0,0444	92%	3,7	20
-0,0444	-0,0444	96%	3,7	41
-4,0944	-6,7944	96%	6,2	340
-0,6500	-3,0611	96%	6,8	31
-1,1611	-3,6056	96%	6,7	30
-1,9500	-4,1333	96%	5,7	39
-2,8611	-2,8611	96%	3,8	28
-2,8111	-2,8111	92%	2,6	133
-3,4778	-3,4778	93%	2,3	71
-3,7556	-3,7556	99%	3,8	60
-1,1611	-1,1611	92%	1,8	93
0,0444	-1,4667	85%	4,9	129
2,0833	2,0833	73%	0,6	86
2,6833	2,6833	76%	1,2	304
2,3056	0,0278	78%	7,9	21
2,2889	-0,0722	72%	8,1	42
2,2389	-0,8611	72%	11,0	41
1,1944	-1,2278	71%	7,7	67
-1,1389	-2,9222	82%	5,1	50
-1,1833	-4,4889	82%	9,2	59
-2,0611	-4,9111	88%	7,4	39
